622		0	2
1923		0	0
951		0	0
1957		0	1
1989		0	1
735		0	2
1353		0	1
866		0	0
1426		0	1
105		0	2
310		0	1
419		0	2
2481		0	2
504		0	1
1967		0	1
982		0	0
976		0	0
1132		0	0
2110		0	1
176		0	2
2877		0	1
581		0	2
1403		0	0
521		0	2
2682		0	1
991		0	0
2970		0	2
529		0	2
667		0	1
2059		0	1
555		0	2
265		0	2
867		0	0
1207		0	0
371		0	2
2280		0	1
664		0	1
877		0	0
1396		0	0
4		0	2
2233		0	1
148		0	1
2951		0	2
2103		0	1
563		0	2
1897		0	0
2696		0	2
1214		0	0
224		0	2
1619		0	0
691		0	2
1332		0	1
2221		0	1
2739		0	2
1524		0	1
2728		0	2
2374		0	0
1093		0	0
1116		0	0
1071		0	0
1542		0	0
2368		0	0
2848		0	1
2313		0	1
593		0	2
2146		0	1
959		0	0
934		0	0
250		0	2
2573		0	2
25		0	2
2195		0	1
1847		0	0
2575		0	2
1726		0	0
111		0	2
2001		0	1
586		0	2
482		0	1
2188		0	1
2068		0	1
301		0	1
617		0	2
2279		0	1
1156		0	0
1172		0	1
948		0	0
2133		0	1
21		0	2
456		0	1
2272		0	1
676		0	1
1561		0	0
2974		0	2
536		0	2
2520		0	2
528		0	2
2158		0	1
1391		0	0
1855		0	0
699		0	2
2820		0	2
1772		0	0
2439		0	1
1703		0	0
1275		0	1
389		0	2
2905		0	1
2604		0	2
2435		0	1
242		0	2
19		0	2
337		0	2
2509		0	2
1990		0	1
2892		0	1
2718		0	2
1259		0	0
1087		0	0
2688		0	2
1386		0	0
2957		0	2
240		0	2
1405		0	1
884		0	0
2628		0	2
6		0	2
1389		0	0
1821		0	0
1423		0	1
921		0	0
2985		0	2
331		0	2
2676		0	1
2479		0	2
999		0	0
413		0	2
388		0	2
1023		0	0
1589		0	0
2386		0	0
2880		0	1
2252		0	1
881		0	0
2579		0	2
2810		0	2
2102		0	1
1802		0	0
2329		0	1
2036		0	1
1174		0	1
1700		0	0
1873		0	0
1588		0	0
